,endTime,year,month,day,hour,artist,album,track,genres,minutesPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1030,2021-08-14 00:05:00,2021,8,14,0,Keith Jarrett,Fusion,The Koln Concert: Part 2c,"['contemporary jazz', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",0.85,2uriwjXOo3HHTX5M1O8hM3,0.41,0.0528,0,-25.427,1,0.0441,0.995,0.925,0.0844,0.113,142.61
1031,2021-08-16 12:43:00,2021,8,16,12,Keith Jarrett,Fusion,The Koln Concert: Part 2c,"['contemporary jazz', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",0.05,2uriwjXOo3HHTX5M1O8hM3,0.41,0.0528,0,-25.427,1,0.0441,0.995,0.925,0.0844,0.113,142.61
1032,2021-04-30 21:48:00,2021,4,30,21,Ghetto Blaster Ltd.,Bossa N' Roses,November Rain - B&H Version,['coverchill'],0.29,2sO2B8YGt8Bi9p3tgmSdlC,0.749,0.717,7,-8.412,1,0.067,0.233,0.0308,0.203,0.814,170.1
1033,2021-05-09 14:06:00,2021,5,9,14,Ghetto Blaster Ltd.,Bossa N' Roses,November Rain - B&H Version,['coverchill'],0.02,2sO2B8YGt8Bi9p3tgmSdlC,0.749,0.717,7,-8.412,1,0.067,0.233,0.0308,0.203,0.814,170.1
1034,2021-08-16 12:43:00,2021,8,16,12,Ghetto Blaster Ltd.,Bossa N' Roses,November Rain - B&H Version,['coverchill'],0.06,2sO2B8YGt8Bi9p3tgmSdlC,0.749,0.717,7,-8.412,1,0.067,0.233,0.0308,0.203,0.814,170.1
1035,2021-05-01 14:42:00,2021,5,1,14,Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Levanta e Anda,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian rock', 'funk ostentacao', 'hip hop tuga', 'manguebeat', 'pop lgbtq+ brasileira']",0.05,7d8sqXhIwIJltlGHL47ASh,0.614,0.94,9,-4.071,1,0.303,0.0798,0.0,0.402,0.772,89.967
1036,2021-05-09 18:18:00,2021,5,9,18,Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Levanta e Anda,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian rock', 'funk ostentacao', 'hip hop tuga', 'manguebeat', 'pop lgbtq+ brasileira']",0.07,7d8sqXhIwIJltlGHL47ASh,0.614,0.94,9,-4.071,1,0.303,0.0798,0.0,0.402,0.772,89.967
1037,2021-08-16 12:08:00,2021,8,16,12,Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Levanta e Anda,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian rock', 'funk ostentacao', 'hip hop tuga', 'manguebeat', 'pop lgbtq+ brasileira']",0.03,7d8sqXhIwIJltlGHL47ASh,0.614,0.94,9,-4.071,1,0.303,0.0798,0.0,0.402,0.772,89.967
1038,2021-09-15 17:18:00,2021,9,15,17,Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Levanta e Anda,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian rock', 'funk ostentacao', 'hip hop tuga', 'manguebeat', 'pop lgbtq+ brasileira']",0.03,7d8sqXhIwIJltlGHL47ASh,0.614,0.94,9,-4.071,1,0.303,0.0798,0.0,0.402,0.772,89.967
1039,2021-05-01 15:42:00,2021,5,1,15,"Lucie,Too",LUCKY,Lucky,"['j-indie', 'japanese alternative rock', 'japanese indie rock']",1.64,5jkuq8q8itgaOxZtg8fsT7,0.461,0.89,11,-4.822,0,0.0336,0.0346,4.86e-06,0.14,0.879,92.483
